-7.30E-01,1.79E+00,1
-6.26E-01,2.44E+00,1
1.32E-01,2.05E+00,1
7.72E-01,2.85E+00,1
-1.47E+00,2.43E+00,1
4.84E-02,1.99E+00,1
-1.95E-01,1.12E+00,1
5.46E-01,2.07E+00,1
-1.68E+00,1.70E+00,1
-1.53E+00,1.78E+00,1
-7.54E-01,1.11E-01,1
2.70E-01,2.06E+00,1
8.71E-01,1.27E+00,1
8.19E-01,1.44E+00,1
8.10E-01,1.35E+00,1
-1.20E-01,9.64E-01,1
6.63E-01,1.04E+00,1
-1.14E+00,2.26E+00,1
-5.04E-01,2.56E+00,1
1.71E+00,4.48E-01,1
3.13E-01,1.22E+00,1
2.88E-01,1.46E+00,1
-1.39E+00,2.55E+00,1
2.15E+00,1.07E+00,1
-4.82E-01,1.96E+00,1
-1.57E+00,2.07E+00,1
1.52E+00,8.69E-01,1
1.73E+00,9.82E-01,1
6.02E-01,1.95E+00,1
1.09E+00,9.77E-01,1
1.19E+00,2.03E+00,1
-8.95E-01,1.18E+00,1
6.22E-01,1.23E+00,1
6.85E-01,2.07E+00,1
-4.05E-01,2.13E+00,1
-1.32E+00,1.66E+00,1
-1.67E+00,1.16E+00,1
-1.88E+00,1.34E+00,1
-4.09E-02,1.67E+00,1
5.70E-01,3.08E-02,1
9.88E-01,1.80E+00,1
9.71E-01,2.04E+00,1
1.28E+00,2.12E+00,1
-2.02E-01,1.19E+00,1
-2.36E-01,2.18E+00,1
4.25E-01,1.90E+00,1
-7.26E-01,2.51E+00,1
-3.59E-01,1.71E+00,1
-3.93E-01,1.53E+00,1
-4.82E-01,1.70E+00,1
2.31E-01,1.26E+00,1
-8.73E-01,8.17E-02,1
-9.83E-02,4.40E-01,1
2.03E-01,1.20E+00,1
-2.24E-01,1.72E+00,1
-7.87E-01,1.44E+00,1
-1.89E-01,1.66E+00,1
-6.93E-01,2.54E+00,1
-7.75E-01,2.12E+00,1
1.83E+00,1.09E+00,1
3.12E+00,2.57E-01,1
3.46E+00,7.21E-01,1
2.26E+00,1.19E+00,1
1.34E+00,6.76E-01,1
1.51E+00,1.84E+00,1
1.46E+00,1.65E+00,1
1.53E-01,2.33E+00,1
4.53E-01,1.85E+00,1
-1.21E-01,1.90E+00,1
1.60E+00,-4.14E-02,1
-2.52E+00,-1.34E-01,2
-2.17E+00,-1.55E-01,2
-2.33E+00,-2.20E-01,2
-3.23E+00,-2.06E-01,2
-1.74E+00,4.32E-01,2
-2.25E+00,-6.47E-01,2
-2.85E+00,-7.03E-01,2
-4.70E+00,-3.55E+00,2
-3.13E+00,-1.64E+00,2
-2.38E+00,4.28E-01,2
-1.52E+00,-4.19E-01,2
-3.31E+00,-1.55E+00,2
-4.47E+00,-3.56E+00,2
-4.21E+00,-5.73E-01,2
-4.01E+00,-1.15E+00,2
-3.00E+00,1.74E-01,2
-3.70E+00,-2.95E-01,2
-3.40E+00,-6.41E-01,2
-4.31E+00,-4.04E+00,2
-4.29E+00,-3.38E+00,2
-4.28E+00,-1.22E+00,2
-3.12E+00,-2.69E-01,2
-3.18E+00,-6.75E-01,2
-2.76E+00,-1.45E+00,2
-2.73E+00,-6.68E-01,2
-1.80E+00,5.61E-01,2
-3.68E+00,-1.05E+00,2
-3.70E+00,-6.76E-01,2
-3.28E+00,-3.95E-01,2
-3.56E+00,-2.99E-01,2
-1.78E+00,2.51E-01,2
-3.16E+00,2.89E-01,2
